move_dur,added_mass,target,eff_mass,eff_mass_mean,sum_t2
0.3,0,1,1.471,1.4516,0.50541
0.3,0,2,2.7508,2.8036,0.61691
0.3,0,3,1.471,1.6002,0.43146
0.3,0,4,2.7508,2.7896,0.6701
0.3,0,5,1.4715,1.4517,0.50377
0.3,0,6,2.9025,2.8107,0.59439
0.3,0,7,1.7619,1.6138,0.40679
0.3,0,8,2.8505,2.7943,0.66711
0.35,0,1,1.471,1.4515,0.54189
0.35,0,2,2.7508,2.8039,0.65764
0.35,0,3,1.471,1.601,0.45862
0.35,0,4,2.7508,2.7899,0.71798
0.35,0,5,1.4715,1.4515,0.54155
0.35,0,6,2.9025,2.8101,0.64302
0.35,0,7,1.7619,1.6128,0.44103
0.35,0,8,2.8505,2.7939,0.71713
0.4,0,1,1.471,1.4513,0.50292
0.4,0,2,2.7508,2.8042,0.60764
0.4,0,3,1.471,1.6017,0.42265
0.4,0,4,2.7508,2.7901,0.66616
0.4,0,5,1.4715,1.4514,0.50289
0.4,0,6,2.9025,2.8096,0.59965
0.4,0,7,1.7619,1.612,0.4127
0.4,0,8,2.8505,2.7936,0.66595
0.45,0,1,1.471,1.4512,0.42688
0.45,0,2,2.7508,2.8043,0.51412
0.45,0,3,1.471,1.6022,0.35695
0.45,0,4,2.7508,2.7902,0.56541
0.45,0,5,1.4715,1.4512,0.42677
0.45,0,6,2.9025,2.8092,0.51022
0.45,0,7,1.7619,1.6114,0.35231
0.45,0,8,2.8505,2.7934,0.56517
0.5,0,1,1.471,1.4511,0.34558
0.5,0,2,2.7508,2.8045,0.41531
0.5,0,3,1.471,1.6026,0.28811
0.5,0,4,2.7508,2.7903,0.45775
0.5,0,5,1.4715,1.4512,0.34541
0.5,0,6,2.9025,2.8089,0.41354
0.5,0,7,1.7619,1.611,0.28629
0.5,0,8,2.8505,2.7932,0.45745
0.55,0,1,1.471,1.4511,0.27421
0.55,0,2,2.7508,2.8046,0.32905
0.55,0,3,1.471,1.6029,0.22827
0.55,0,4,2.7508,2.7904,0.36322
0.55,0,5,1.4715,1.4511,0.27404
0.55,0,6,2.9025,2.8086,0.32831
0.55,0,7,1.7619,1.6106,0.22771
0.55,0,8,2.8505,2.793,0.36297
0.6,0,1,1.471,1.451,0.21671
0.6,0,2,2.7508,2.8047,0.2598
0.6,0,3,1.471,1.6032,0.18032
